trabajador_id,vuelo_id,rol
59,13,Piloto
25,55,Piloto
38,64,Piloto
24,21,Piloto
31,9,Piloto
17,36,Piloto
25,91,Piloto
25,139,Piloto
25,29,Piloto
10,69,Piloto
59,17,Piloto
8,109,Piloto
8,120,Piloto
59,74,Piloto
34,89,Piloto
8,131,Piloto
54,100,Piloto
31,105,Piloto
37,129,Piloto
21,54,Piloto
8,0,Piloto
59,53,Piloto
59,51,Piloto
8,119,Piloto
7,1,Piloto
37,16,Piloto
8,67,Piloto
31,71,Piloto
7,19,Piloto
7,8,Piloto
24,112,Piloto
31,10,Piloto
59,66,Piloto
23,62,Piloto
8,110,Piloto
23,26,Piloto
37,94,Piloto
21,140,Piloto
10,76,Piloto
25,72,Piloto
31,127,Piloto
34,42,Piloto
0,86,Piloto
21,115,Piloto
24,84,Piloto
8,56,Piloto
59,31,Piloto
0,146,Piloto
8,12,Piloto
21,38,Piloto
25,145,Piloto
0,107,Piloto
7,68,Piloto
15,44,Piloto
59,39,Piloto
0,60,Piloto
24,147,Piloto
9,106,Piloto
7,141,Piloto
21,136,Piloto
23,97,Piloto
25,137,Piloto
38,123,Piloto
59,2,Piloto
59,98,Piloto
25,128,Piloto
25,144,Piloto
15,70,Piloto
24,143,Piloto
31,85,Piloto
8,45,Piloto
17,41,Piloto
37,32,Piloto
9,126,Piloto
59,108,Piloto
25,142,Piloto
25,33,Piloto
37,15,Piloto
21,43,Piloto
59,111,Piloto
41,93,Piloto
59,48,Piloto
9,27,Piloto
41,124,Piloto
41,30,Piloto
25,81,Piloto
25,37,Piloto
25,95,Piloto
37,96,Piloto
37,63,Piloto
38,90,Piloto
37,7,Piloto
10,78,Piloto
34,47,Piloto
0,148,Piloto
25,80,Piloto
59,65,Piloto
23,116,Piloto
15,130,Piloto
15,134,Piloto
54,132,Piloto
21,135,Piloto
37,82,Piloto
54,75,Piloto
34,34,Piloto
29,11,Piloto
0,59,Piloto
34,73,Piloto
41,102,Piloto
24,104,Piloto
17,79,Piloto
9,5,Piloto
23,122,Piloto
15,46,Piloto
15,88,Piloto
54,138,Piloto
24,58,Piloto
21,133,Piloto
37,18,Piloto
17,114,Piloto
23,14,Piloto
37,3,Piloto
38,99,Piloto
37,4,Piloto
41,50,Piloto
17,118,Piloto
41,25,Piloto
21,61,Piloto
23,22,Piloto
38,121,Piloto
15,24,Piloto
31,57,Piloto
24,125,Piloto
37,113,Piloto
34,6,Piloto
23,52,Piloto
7,103,Piloto
21,28,Piloto
37,35,Piloto
31,23,Piloto
7,40,Piloto
54,83,Piloto
54,101,Piloto
38,77,Piloto
41,20,Piloto
23,92,Piloto
38,117,Piloto
7,87,Piloto
54,49,Piloto
