trabajador_id,vuelo_id,rol
4,139,Tripulante de Cabina
2,78,Tripulante de Cabina
35,124,Paramedico
22,101,Tripulante de Cabina
40,35,Paramedico
22,137,Tripulante de Cabina
58,65,Tripulante de Cabina
39,15,Tripulante de Cabina
18,41,Tripulante de Cabina
45,117,Paramedico
20,7,Paramedico
43,94,Paramedico
53,27,Paramedico
14,117,Tripulante de Cabina
40,11,Paramedico
51,137,Tripulante de Cabina
35,89,Paramedico
19,85,Tripulante de Cabina
18,65,Tripulante de Cabina
12,87,Tripulante de Cabina
19,112,Tripulante de Cabina
40,96,Paramedico
4,105,Tripulante de Cabina
22,136,Tripulante de Cabina
45,92,Paramedico
46,45,Tripulante de Cabina
46,28,Tripulante de Cabina
18,25,Tripulante de Cabina
16,123,Tripulante de Cabina
58,80,Tripulante de Cabina
50,95,Paramedico
18,55,Tripulante de Cabina
14,121,Tripulante de Cabina
22,74,Tripulante de Cabina
58,29,Tripulante de Cabina
47,109,Paramedico
56,108,Tripulante de Cabina
22,108,Tripulante de Cabina
32,132,Paramedico
1,50,Tripulante de Cabina
49,138,Paramedico
53,43,Paramedico
19,121,Tripulante de Cabina
2,91,Tripulante de Cabina
42,138,Tripulante de Cabina
56,27,Tripulante de Cabina
19,135,Tripulante de Cabina
13,146,Tripulante de Cabina
12,26,Tripulante de Cabina
56,140,Tripulante de Cabina
5,75,Tripulante de Cabina
58,128,Tripulante de Cabina
18,103,Tripulante de Cabina
52,54,Paramedico
51,22,Tripulante de Cabina
22,131,Tripulante de Cabina
22,90,Tripulante de Cabina
32,146,Paramedico
22,24,Tripulante de Cabina
56,124,Tripulante de Cabina
22,38,Tripulante de Cabina
33,91,Tripulante de Cabina
2,104,Tripulante de Cabina
50,29,Paramedico
22,77,Tripulante de Cabina
52,41,Paramedico
19,119,Tripulante de Cabina
28,97,Tripulante de Cabina
32,144,Paramedico
47,98,Paramedico
56,89,Tripulante de Cabina
56,111,Tripulante de Cabina
22,73,Tripulante de Cabina
12,113,Tripulante de Cabina
19,6,Tripulante de Cabina
26,52,Tripulante de Cabina
40,23,Paramedico
51,53,Tripulante de Cabina
58,33,Tripulante de Cabina
56,109,Tripulante de Cabina
56,139,Tripulante de Cabina
22,36,Tripulante de Cabina
5,40,Tripulante de Cabina
26,118,Tripulante de Cabina
50,33,Paramedico
51,18,Tripulante de Cabina
46,136,Tripulante de Cabina
51,14,Tripulante de Cabina
16,41,Tripulante de Cabina
56,38,Tripulante de Cabina
2,46,Tripulante de Cabina
22,138,Tripulante de Cabina
53,81,Paramedico
35,106,Paramedico
2,9,Tripulante de Cabina
26,97,Tripulante de Cabina
52,12,Paramedico
18,142,Tripulante de Cabina
22,28,Tripulante de Cabina
30,121,Paramedico
1,45,Tripulante de Cabina
47,77,Paramedico
16,95,Tripulante de Cabina
53,141,Paramedico
35,78,Paramedico
16,12,Tripulante de Cabina
28,134,Tripulante de Cabina
27,19,Paramedico
52,28,Paramedico
22,110,Tripulante de Cabina
30,84,Paramedico
58,39,Tripulante de Cabina
12,127,Tripulante de Cabina
